epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
1,0.4971587682763735,0.493821918964386,0.645365642269667,A1,rel-trial,SAGE-Dir-GNN,44,False
2,0.4744455392162005,0.479599729180336,0.6716144192924378,A1,rel-trial,SAGE-Dir-GNN,44,False
3,0.463734192152818,0.4700573682785034,0.6864934171435719,A1,rel-trial,SAGE-Dir-GNN,44,False
4,0.4560255346198876,0.4797084778547287,0.6781257957728546,A1,rel-trial,SAGE-Dir-GNN,44,False
5,0.4608250744640827,0.4809541553258896,0.6717417429491733,A1,rel-trial,SAGE-Dir-GNN,44,False
6,0.4446605357031027,0.5165294408798218,0.6778800834528389,A1,rel-trial,SAGE-Dir-GNN,44,True
1,0.4979930333793163,0.5018847286701202,0.6032416156255166,A1,rel-trial,GAT-MPNN-D,42,False
2,0.4950032134850819,0.5100609660148621,0.5981039943888241,A1,rel-trial,GAT-MPNN-D,42,False
3,0.4922074812153975,0.5012002289295197,0.6041485174612109,A1,rel-trial,GAT-MPNN-D,42,False
4,0.4914365361134211,0.4990963339805603,0.6094290985931853,A1,rel-trial,GAT-MPNN-D,42,False
5,0.4879367848237355,0.4990359544754028,0.6147409522022526,A1,rel-trial,GAT-MPNN-D,42,False
6,0.4851833842694759,0.5077010095119476,0.6140842301833015,A1,rel-trial,GAT-MPNN-D,42,False
7,0.4820141593615214,0.4953667670488357,0.6264949360924593,A1,rel-trial,GAT-MPNN-D,42,False
8,0.4790073732535044,0.4954949468374252,0.6323339543153785,A1,rel-trial,GAT-MPNN-D,42,False
9,0.4774134717881679,0.4948457926511764,0.639079874373992,A1,rel-trial,GAT-MPNN-D,42,False
10,0.4757524641851584,0.4975784420967102,0.645589017106045,A1,rel-trial,GAT-MPNN-D,42,True
1,0.4999144201477368,0.5042004883289337,0.597902957036084,A1,rel-trial,GAT-MPNN-D,43,False
2,0.4948413160940011,0.5033338665962219,0.5975723622782445,A1,rel-trial,GAT-MPNN-D,43,False
3,0.4920283171037833,0.506010502576828,0.6005521825955262,A1,rel-trial,GAT-MPNN-D,43,False
4,0.4891599876185258,0.5009928345680237,0.6082005369931067,A1,rel-trial,GAT-MPNN-D,43,False
5,0.4855661119023959,0.5099731087684631,0.6261107313738894,A1,rel-trial,GAT-MPNN-D,43,False
